Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
rnie,"Welcome to the course!",1690978778
rnie,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
"jonas","new msg","1695664632"
"jonas","msg33","1695665083"
"jonas","msg348","1695665218"
"jonas","lwefj","1695665242"
"jonas","msg new","1695665479"
"Alexa","This Is Test From Alex the one and only, I'm so good at this shit","1695719247"
"Alexa","This Is Test From Alex the one and only, I'm so good at this shit","1695719296"
"Alexa","meessagggdernjfhehendjjdmnrfbhfkdmdhdfidkenegduiol,mbvgtyuil,mnbvftyuikl,vcxsertyujmnxdfthjmnc","1695719412"
"Alexa","meessagggdernjfhehendjjdmnrfbhfkdmdhdfidkenegduiol,mbvgtyuil,mnbvftyuikl,vcxsertyujmnxdft hjmnc","1695719441"
"hejehj","test","1695722697"
